mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_cost_res_usd2024,dam_cost_nonres_usd2024,dam_area_m2,dam_area_res_m2,dam_area_nonres_m2
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,USA,12775069268.488647,9473100328.923334,3301968939.565371,3310961.7149192058,2683915.393073514,627046.321845692
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,RUS,104394701784.89375,60335800631.928795,44058901152.96403,71302539.52148432,44501734.352654465,26800805.16883067
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,CAN,37833579.12164649,36805852.89582341,1027726.2258230794,4689.208503966136,4529.73101606706,159.47748789907595
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,USA,12145236411.113277,8768625824.429443,3376610586.683915,3125544.7540608384,2484323.9287177324,641220.8253430962
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,RUS,73619413219.49591,43133562427.00203,30485850792.494053,51176798.84079314,32450578.13789183,18726220.702900372
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,CAN,1648776453.3104982,1306393880.731675,342382572.5788228,210486.78647024278,157341.65989749465,53145.12657274804
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,USA,6683782802.304431,5153368723.415591,1530414078.888831,1750677.336724098,1460050.5814056727,290626.75531842496
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,RUS,299847164715.5381,200885425717.45316,98961738998.08734,202745528.7774066,145495310.57792985,57250218.19948005
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,CAN,66174906.66989617,64999603.265212774,1175303.404683401,8110.337927630952,7927.960140834641,182.37778679631194
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,USA,7864559001.7719145,6555901195.923518,1308657805.8484,2105930.6558282105,1857415.5792993817,248515.0765288252
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,RUS,109351925375.9743,67134806891.91636,42217118484.057205,75802903.51269951,50007874.71021066,25795028.802488886
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,CAN,1314361472.5445437,1011490468.3772125,302871004.16732806,168890.04345332953,121892.01451484163,46998.02893848794
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,USA,7172545458.332802,6022735480.807533,1149809977.525297,1924709.017308719,1706359.2598080863,218349.75750063112
